time,src_cluster,dst_cluster,delay,loss
1,1,2,17.9147,0.0405983
1,2,1,17.9147,0.0405983
1,2,3,25.4336,0.0649573
1,3,2,25.4336,0.0649573
1,3,1,12.7227,0.0350427
1,1,3,12.7227,0.0350427
2,1,2,17.944,0.0197817
2,2,1,17.944,0.0197817
2,2,3,25.4336,0.0272851
2,3,2,25.4336,0.0272851
2,3,1,12.7227,0.0122783
2,1,3,12.7227,0.0122783
3,1,2,17.9397,0.0181011
3,2,1,17.9397,0.0181011
3,2,3,25.4336,0.0245902
3,3,2,25.4336,0.0245902
3,3,1,12.7227,0.0184426
3,1,3,12.7227,0.0184426
4,1,2,17.9406,0.0225102
4,2,1,17.9406,0.0225102
4,2,3,25.4336,0.0368349
4,3,2,25.4336,0.0368349
4,3,1,12.7227,0.0156889
4,1,3,12.7227,0.0156889
5,1,2,17.9353,0.00413793
5,2,1,17.9353,0.00413793
5,2,3,25.4336,0.0268966
5,3,2,25.4336,0.0268966
5,3,1,12.7227,0.00206897
5,1,3,12.7227,0.00206897
