time,src_cluster,dst_cluster,delay,loss
1,1,2,15.0000,0.0200000
1,2,3,16.0000,0.0250000
1,3,1,12.7227,0.0350427
1,1,3,35.0000,0.0900000
1,2,1,15.1000,0.0205000
1,3,2,16.1000,0.0255000
2,1,2,15.1000,0.0180000
2,2,3,16.0000,0.0230000
2,3,1,12.7227,0.0122783
2,1,3,34.8000,0.0880000
2,2,1,15.0500,0.0185000
2,3,2,16.0500,0.0235000
3,1,2,15.0500,0.0190000
3,2,3,16.0000,0.0240000
3,3,1,12.7227,0.0184426
3,1,3,34.9000,0.0890000
3,2,1,15.0800,0.0195000
3,3,2,16.0800,0.0245000
4,1,2,15.2000,0.0210000
4,2,3,16.0000,0.0260000
4,3,1,12.7227,0.0156889
4,1,3,35.1000,0.0910000
4,2,1,15.1500,0.0215000
4,3,2,16.1500,0.0265000
5,1,2,14.9500,0.0175000
5,2,3,16.0000,0.0220000
5,3,1,12.7227,0.00206897
5,1,3,34.7000,0.0870000
5,2,1,14.9800,0.0180000
5,3,2,16.0200,0.0225000
